idx,a,b,prefix,io,s,io_id,s_id,t_star,n_edges_S,logit_diff_full,logit_diff_ablate_S,drop_S,drop_random_mean,drop_random_std,seed
21,Anna,John,"When Anna and John went to the store, Anna gave a drink to", John, Anna,2516,16543,13,165,3.167098045349121,-2.1357040405273438,5.302802085876465,0.12386398315429688,0.2868119199537183,21000
22,John,Mark,"When John and Mark went to the store, John gave a drink to", Mark, John,4744,2516,13,180,2.695794105529785,-3.509310722351074,6.205104827880859,0.014095592498779296,0.1615818048863578,22000
23,Mark,John,"When Mark and John went to the store, Mark gave a drink to", John, Mark,2516,4744,13,150,3.7966232299804688,-1.2989482879638672,5.095571517944336,0.14688358306884766,0.49236061937937486,23000
24,John,Laura,"When John and Laura went to the store, John gave a drink to", Laura, John,21960,2516,13,165,3.3867902755737305,-1.456049919128418,4.842840194702148,-0.039310359954833986,0.2215056826258179,24000
25,Laura,John,"When Laura and John went to the store, Laura gave a drink to", John, Laura,2516,21960,13,150,4.655630111694336,-2.1590452194213867,6.814675331115723,0.037943553924560544,0.1768178068089031,25000
26,John,Chris,"When John and Chris went to the store, John gave a drink to", Chris, John,11007,2516,13,180,3.971332550048828,-3.390812873840332,7.36214542388916,-0.12213420867919922,0.43216234101653306,26000
27,Chris,John,"When Chris and John went to the store, Chris gave a drink to", John, Chris,2516,11007,13,180,2.974527359008789,-2.0472583770751953,5.021785736083984,-0.0890005111694336,0.06913985962434847,27000
28,John,Emma,"When John and Emma went to the store, John gave a drink to", Emma, John,25975,2516,13,150,4.208440780639648,-1.3887786865234375,5.597219467163086,0.04970903396606445,0.16764929634721643,28000
29,Emma,John,"When Emma and John went to the store, Emma gave a drink to", John, Emma,2516,25975,13,150,3.3621397018432617,-3.0308332443237305,6.392972946166992,0.04211091995239258,0.14613289170160826,29000
30,John,Sam,"When John and Sam went to the store, John gave a drink to", Sam, John,5769,2516,13,180,4.830288887023926,-2.096372604370117,6.926661491394043,0.020658016204833984,0.06739021354519407,30000
31,Sam,John,"When Sam and John went to the store, Sam gave a drink to", John, Sam,2516,5769,13,150,3.1836090087890625,-2.108217239379883,5.291826248168945,-0.06401805877685547,0.4311382403367941,31000
32,John,Kate,"When John and Kate went to the store, John gave a drink to", Kate, John,20428,2516,13,180,3.40317440032959,-1.1990737915039062,4.602248191833496,-0.024240684509277344,0.19414608197635758,32000
33,Kate,John,"When Kate and John went to the store, Kate gave a drink to", John, Kate,2516,20428,13,180,3.572101593017578,-2.0845861434936523,5.6566877365112305,0.023673820495605468,0.13842134207392592,33000
34,John,Dan,"When John and Dan went to the store, John gave a drink to", Dan, John,5682,2516,13,180,4.06744384765625,-2.975757598876953,7.043201446533203,-0.08506221771240234,0.5091634920851538,34000
35,Dan,John,"When Dan and John went to the store, Dan gave a drink to", John, Dan,2516,5682,13,150,4.042697906494141,-2.0203495025634766,6.063047409057617,0.05835180282592774,0.190332666151108,35000
36,John,Ruth,"When John and Ruth went to the store, John gave a drink to", Ruth, John,25635,2516,13,180,4.56967830657959,-2.5471506118774414,7.116828918457031,-0.058879756927490236,0.1246260163295346,36000
37,Ruth,John,"When Ruth and John went to the store, Ruth gave a drink to", John, Ruth,2516,25635,13,180,3.577103614807129,-0.5954980850219727,4.172601699829102,0.10686969757080078,0.17203125206590777,37000
38,John,Joe,"When John and Joe went to the store, John gave a drink to", Joe, John,9915,2516,13,180,3.554668426513672,-0.17908287048339844,3.7337512969970703,0.02110567092895508,0.09785594219665072,38000
39,Joe,John,"When Joe and John went to the store, Joe gave a drink to", John, Joe,2516,9915,13,165,2.2251758575439453,-2.3568267822265625,4.582002639770508,0.07954998016357422,0.34279352967000143,39000
40,John,Amy,"When John and Amy went to the store, John gave a drink to", Amy, John,22138,2516,13,180,3.6760330200195312,-1.7873258590698242,5.4633588790893555,-0.178170108795166,0.6228811866016878,40000
41,Amy,John,"When Amy and John went to the store, Amy gave a drink to", John, Amy,2516,22138,13,150,3.866201400756836,-2.1606874465942383,6.026888847351074,0.23688220977783203,0.4078354901704356,41000
42,John,Tim,"When John and Tim went to the store, John gave a drink to", Tim, John,8969,2516,13,180,4.430416107177734,-3.775235176086426,8.20565128326416,0.010394668579101563,0.18365174547209437,42000
43,Tim,John,"When Tim and John went to the store, Tim gave a drink to", John, Tim,2516,8969,13,150,4.742548942565918,-2.974459648132324,7.717008590698242,-0.0248504638671875,0.1580176774934971,43000
44,John,Nina,"When John and Nina went to the store, John gave a drink to", Nina, John,48801,2516,13,150,3.9446325302124023,-0.5406684875488281,4.4853010177612305,0.16473264694213868,0.3887731749407345,44000
45,Nina,John,"When Nina and John went to the store, Nina gave a drink to", John, Nina,2516,48801,13,150,4.842927932739258,-2.3181400299072266,7.161067962646484,0.14898529052734374,0.3216271752989519,45000
46,John,Ryan,"When John and Ryan went to the store, John gave a drink to", Ryan, John,13114,2516,13,180,3.222081184387207,-3.930119514465332,7.152200698852539,-0.02801656723022461,0.1587129589987024,46000
47,Ryan,John,"When Ryan and John went to the store, Ryan gave a drink to", John, Ryan,2516,13114,13,180,3.3009204864501953,-1.23065185546875,4.531572341918945,-0.022235774993896486,0.0983989943998959,47000
48,John,Grace,"When John and Grace went to the store, John gave a drink to", Grace, John,18966,2516,13,180,3.368821144104004,-2.4945669174194336,5.8633880615234375,0.033052921295166016,0.4169583911911524,48000
49,Grace,John,"When Grace and John went to the store, Grace gave a drink to", John, Grace,2516,18966,13,150,4.659172058105469,-1.7569904327392578,6.416162490844727,0.0066394805908203125,0.14994482223847622,49000
50,John,Luke,"When John and Luke went to the store, John gave a drink to", Luke, John,18247,2516,13,180,2.4810562133789062,-2.6785659790039062,5.1596221923828125,-0.028585147857666016,0.05627118402359598,50000
51,Luke,John,"When Luke and John went to the store, Luke gave a drink to", John, Luke,2516,18247,13,180,4.2315168380737305,0.24643611907958984,3.9850807189941406,0.07846860885620117,0.3732997238460967,51000
52,John,Olivia,"When John and Olivia went to the store, John gave a drink to", Olivia, John,45790,2516,13,180,3.399773597717285,-4.740589141845703,8.140362739562988,-0.05379810333251953,0.24018292902222077,52000
53,Olivia,John,"When Olivia and John went to the store, Olivia gave a drink to", John, Olivia,2516,45790,13,150,4.235648155212402,-0.5972375869750977,4.8328857421875,0.03175649642944336,0.0911188399834222,53000
54,John,Jack,"When John and Jack went to the store, John gave a drink to", Jack, John,5332,2516,13,180,2.867955207824707,-1.163609504699707,4.031564712524414,-0.02895355224609375,0.11517178705884641,54000
55,Jack,John,"When Jack and John went to the store, Jack gave a drink to", John, Jack,2516,5332,13,180,2.797335624694824,-1.1069326400756836,3.904268264770508,0.010327720642089843,0.13543401352774567,55000
56,John,Sophie,"When John and Sophie went to the store, John gave a drink to", Sophie, John,35262,2516,13,150,3.706061363220215,-1.5343742370605469,5.240435600280762,-0.011636734008789062,0.16187463148750408,56000
57,Sophie,John,"When Sophie and John went to the store, Sophie gave a drink to", John, Sophie,2516,35262,13,150,3.9298810958862305,-2.2508621215820312,6.180743217468262,-0.02925901412963867,0.17470568635424769,57000
58,John,Ben,"When John and Ben went to the store, John gave a drink to", Ben, John,6029,2516,13,180,4.176368713378906,-3.1975479125976562,7.3739166259765625,0.028492546081542967,0.15709453449121308,58000
59,Ben,John,"When Ben and John went to the store, Ben gave a drink to", John, Ben,2516,6029,13,165,4.118718147277832,-2.273906707763672,6.392624855041504,0.17031316757202147,0.3390572483815046,59000
60,John,Claire,"When John and Claire went to the store, John gave a drink to", Claire, John,31231,2516,13,180,4.441905975341797,-2.170975685119629,6.612881660461426,0.07344322204589844,0.2221101230805812,60000
61,Claire,John,"When Claire and John went to the store, Claire gave a drink to", John, Claire,2516,31231,13,150,3.2069168090820312,-2.079618453979492,5.286535263061523,-0.1331024169921875,0.08992100343539441,61000
62,John,Adam,"When John and Adam went to the store, John gave a drink to", Adam, John,13187,2516,13,180,3.3151798248291016,-3.680849075317383,6.996028900146484,0.1431783676147461,0.31871825319124547,62000
63,Adam,John,"When Adam and John went to the store, Adam gave a drink to", John, Adam,2516,13187,13,150,4.3088884353637695,-1.0561695098876953,5.365057945251465,-0.10650577545166015,0.44624930905504434,63000
64,John,Helen,"When John and Helen went to the store, John gave a drink to", Helen, John,23442,2516,13,180,4.129144668579102,-2.8364686965942383,6.96561336517334,0.006116104125976562,0.11936966552361765,64000
65,Helen,John,"When Helen and John went to the store, Helen gave a drink to", John, Helen,2516,23442,13,165,3.7901840209960938,-1.7887659072875977,5.578949928283691,0.0064223289489746095,0.2757127451676412,65000
66,John,Eric,"When John and Eric went to the store, John gave a drink to", Eric, John,12284,2516,13,180,4.187636375427246,-5.037092208862305,9.22472858428955,0.16996440887451172,0.21262132746821252,66000
67,Eric,John,"When Eric and John went to the store, Eric gave a drink to", John, Eric,2516,12284,13,165,5.16254997253418,-0.005848884582519531,5.168398857116699,0.08949995040893555,0.2577600268499264,67000
68,John,Julia,"When John and Julia went to the store, John gave a drink to", Julia, John,27261,2516,13,180,2.9782161712646484,-2.3181657791137695,5.296381950378418,-0.03075094223022461,0.18454101895693276,68000
69,Julia,John,"When Julia and John went to the store, Julia gave a drink to", John, Julia,2516,27261,13,180,4.226999282836914,-0.7905845642089844,5.017583847045898,-0.05214128494262695,0.13117176135165126,69000
70,John,Kevin,"When John and Kevin went to the store, John gave a drink to", Kevin, John,15273,2516,13,180,4.435412406921387,-2.6831064224243164,7.118518829345703,0.050730133056640626,0.19004719046089558,70000
71,Kevin,John,"When Kevin and John went to the store, Kevin gave a drink to", John, Kevin,2516,15273,13,150,2.636110305786133,-1.7961549758911133,4.432265281677246,0.10210189819335938,0.16765000344469347,71000
72,John,Rachel,"When John and Rachel went to the store, John gave a drink to", Rachel, John,22739,2516,13,150,3.888882637023926,-0.34090328216552734,4.229785919189453,0.1164017677307129,0.27127738991676237,72000
73,Rachel,John,"When Rachel and John went to the store, Rachel gave a drink to", John, Rachel,2516,22739,13,150,4.071240425109863,-2.062077522277832,6.133317947387695,0.05956106185913086,0.22500747998341297,73000
74,John,Brian,"When John and Brian went to the store, John gave a drink to", Brian, John,14468,2516,13,180,3.7486572265625,-3.508540153503418,7.257197380065918,-0.06416387557983398,1.0000744159764523,74000
75,Brian,John,"When Brian and John went to the store, Brian gave a drink to", John, Brian,2516,14468,13,165,3.452455520629883,-1.3400192260742188,4.792474746704102,-0.03589954376220703,0.15737398033277378,75000
76,John,Megan,"When John and Megan went to the store, John gave a drink to", Megan, John,45867,2516,13,150,4.080510139465332,-3.0769729614257812,7.157483100891113,0.18339881896972657,0.22585598141536758,76000
77,Megan,John,"When Megan and John went to the store, Megan gave a drink to", John, Megan,2516,45867,13,180,4.019270896911621,-1.0060548782348633,5.025325775146484,-0.10615386962890624,0.37469890567170994,77000
78,John,Jason,"When John and Jason went to the store, John gave a drink to", Jason, John,16553,2516,13,180,2.8233642578125,-4.070842742919922,6.894207000732422,0.014722537994384766,0.13896872376948932,78000
79,Jason,John,"When Jason and John went to the store, Jason gave a drink to", John, Jason,2516,16553,13,165,2.965437889099121,-0.34048938751220703,3.305927276611328,-0.010666656494140624,0.2639956240906603,79000
80,John,Lauren,"When John and Lauren went to the store, John gave a drink to", Lauren, John,33821,2516,13,180,4.383221626281738,-3.883211135864258,8.266432762145996,-0.08644752502441407,0.19123316848407762,80000
81,Lauren,John,"When Lauren and John went to the store, Lauren gave a drink to", John, Lauren,2516,33821,13,150,4.920533180236816,-0.16486263275146484,5.085395812988281,0.03721694946289063,0.2841737659244897,81000
82,John,Matt,"When John and Matt went to the store, John gave a drink to", Matt, John,12429,2516,13,180,3.6816110610961914,-4.241086959838867,7.922698020935059,0.01398172378540039,0.12495373649650841,82000
83,Matt,John,"When Matt and John went to the store, Matt gave a drink to", John, Matt,2516,12429,13,150,3.861689567565918,-2.1670494079589844,6.028738975524902,0.06591215133666992,0.12843543855170872,83000
84,John,Hannah,"When John and Hannah went to the store, John gave a drink to", Hannah, John,28518,2516,13,180,3.9119434356689453,-2.0682430267333984,5.980186462402344,-0.3822766304016113,0.8264696635568825,84000
85,Hannah,John,"When Hannah and John went to the store, Hannah gave a drink to", John, Hannah,2516,28518,13,150,4.056052207946777,-1.716019630432129,5.772071838378906,-0.0356562614440918,0.10326947276738428,85000
86,John,Steve,"When John and Steve went to the store, John gave a drink to", Steve, John,11819,2516,13,180,2.993572235107422,-3.8450422286987305,6.838614463806152,0.07112579345703125,0.2850580719440647,86000
87,Steve,John,"When Steve and John went to the store, Steve gave a drink to", John, Steve,2516,11819,13,165,2.715961456298828,-0.6233005523681641,3.339262008666992,0.054752254486083986,0.16728797955815186,87000
88,John,Chloe,"When John and Chloe went to the store, John gave a drink to", Chloe, John,45014,2516,13,150,3.8147659301757812,0.13041019439697266,3.6843557357788086,-0.03854799270629883,0.09574838715321168,88000
89,Chloe,John,"When Chloe and John went to the store, Chloe gave a drink to", John, Chloe,2516,45014,13,150,2.651974678039551,-2.0038633346557617,4.6558380126953125,-0.043623161315917966,0.10306121475919769,89000
90,John,Andrew,"When John and Andrew went to the store, John gave a drink to", Andrew, John,11116,2516,13,180,3.2869701385498047,-3.1211013793945312,6.408071517944336,-0.05286350250244141,0.22022407512455466,90000
91,Andrew,John,"When Andrew and John went to the store, Andrew gave a drink to", John, Andrew,2516,11116,13,150,4.710859298706055,-2.0181798934936523,6.729039192199707,-0.08529033660888671,0.43027531256096674,91000
92,John,Natalie,"When John and Natalie went to the store, John gave a drink to", Natalie, John,50033,2516,13,150,3.8560657501220703,-2.499265670776367,6.3553314208984375,0.12084283828735351,0.17652327769534124,92000
93,Natalie,John,"When Natalie and John went to the store, Natalie gave a drink to", John, Natalie,2516,50033,13,150,4.573398590087891,-0.8566608428955078,5.430059432983398,-0.05517759323120117,0.2821321037967844,93000
94,John,Peter,"When John and Peter went to the store, John gave a drink to", Peter, John,7993,2516,13,180,2.630343437194824,-1.2650060653686523,3.8953495025634766,0.004825401306152344,0.09601405802494042,94000
95,Peter,John,"When Peter and John went to the store, Peter gave a drink to", John, Peter,2516,7993,13,180,2.3849544525146484,-1.4666776657104492,3.8516321182250977,-0.06857099533081054,0.25478774063692233,95000
96,John,Victoria,"When John and Victoria went to the store, John gave a drink to", Victoria, John,16225,2516,13,150,3.488396644592285,-3.587456703186035,7.07585334777832,0.10003013610839843,0.20506366057791686,96000
97,Victoria,John,"When Victoria and John went to the store, Victoria gave a drink to", John, Victoria,2516,16225,13,180,4.5211381912231445,-0.3367795944213867,4.857917785644531,-0.0001377105712890625,0.09871274029016835,97000
98,Mary,Alice,"When Mary and Alice went to the store, Mary gave a drink to", Alice, Mary,16922,6393,13,180,2.808351516723633,-1.3365983963012695,4.144949913024902,-0.007730960845947266,0.11104964072720391,98000
99,Alice,Mary,"When Alice and Mary went to the store, Alice gave a drink to", Mary, Alice,6393,16922,13,180,4.344179153442383,0.1752634048461914,4.168915748596191,0.02255840301513672,0.11878451659702124,99000
